op_name, stream_id, start_time(ms), duration(ms)
Default/Exp-op102,1,1794820146.559000,0.058
Default/Mul-op103,1,1794820147.056000,0.053
Default/Sin-op104,1,1794820147.362000,0.06
Default/Cast-op109,1,1794820153.605000,0.215
Default/Tile-op107,1,1794820153.910000,0.054
Default/Cast-op108,1,1794820154.060000,1.027
Default/Cast-op113,1,1794820156.183000,0.195
Default/Tile-op111,1,1794820156.466000,0.101
Default/Cast-op112,1,1794820156.658000,0.954
Default/Stack-op114,1,1794820157.911000,0.37
Default/TensorMove-op115,1,1794820159.587000,0.066
Default/ScatterNdUpdate-op116,1,1794820159.786000,95.435
Default/Mul-op103,1,1794820255.798000,0.071
Default/Cos-op117,1,1794820256.124000,0.061
Default/Cast-op109,1,1794820262.546000,0.194
Default/Tile-op107,1,1794820262.827000,0.058
Default/Cast-op108,1,1794820262.974000,0.925
Default/Cast-op113,1,1794820265.003000,0.136
Default/Tile-op111,1,1794820265.224000,0.086
Default/Cast-op112,1,1794820265.409000,1.053
Default/Stack-op114,1,1794820266.764000,0.369
Default/TensorMove-op118,1,1794820267.684000,0.089
Default/ScatterNdUpdate-op119,1,1794820267.910000,96.282
Default/UniformReal-op121,1,1794820910.606000,1.823
Default/UniformReal-op121,1,1794820912.734000,1.408
Default/UniformReal-op121,1,1794820914.409000,1.527
Default/Concat-op124,2,1794821020.386000,0.165
Default/StridedSlice-op125,2,1794821020.826000,0.107
Default/UniformReal-op126,2,1794821021.197000,0.219
Default/Greater-op127,2,1794821021.577000,0.102
Default/Mul-op129,2,1794821311.445000,0.165
Default/Abs-op130,2,1794821311.719000,0.091
Default/Cast-op131,2,1794821311.975000,0.098
Default/Cast-op132,2,1794821312.311000,0.042
Default/Abs-op133,2,1794821312.456000,0.093
Default/Abs-op134,2,1794821312.689000,0.051
Default/GreaterEqual-op135,2,1794821312.846000,0.088
Default/Cast-op136,2,1794821313.091000,0.097
Default/Identity-op138,2,1794821313.430000,3.364
Default/Identity-op140,2,1794821317.029000,0.308
Default/Identity-op142,2,1794821317.560000,0.225
Default/Cast-op143,2,1794821317.973000,0.164
Default/Select-op144,2,1794821318.247000,0.104
Default/Cast-op145,2,1794821318.526000,0.06
Default/Identity-op147,2,1794821318.787000,0.358
Default/Identity-op147,2,1794821319.721000,0.276
Default/Identity-op147,2,1794821320.203000,0.298
Default/Cast-op143,2,1794821320.604000,0.146
Default/Select-op144,2,1794821320.859000,0.058
Default/Cast-op149,2,1794821628.061000,0.08
Default/Equal-op150,2,1794821628.279000,0.132
Default/Cast-op151,2,1794821628.604000,0.057
Default/Identity-op153,2,1794821628.900000,0.285
Default/Identity-op155,2,1794821629.429000,0.284
Default/Identity-op157,2,1794821629.935000,0.235
Default/Cast-op158,2,1794821630.357000,0.164
Default/Select-op159,2,1794821630.640000,0.063
Default/RealDiv-op160,2,1794821630.820000,0.099
Default/Floor-op161,2,1794821631.019000,0.086
Default/Mul-op162,2,1794821631.210000,0.087
Default/Sub-op163,2,1794821631.405000,0.09
Default/ReduceSum-op164,2,1794821631.698000,0.161
Default/Cast-op165,2,1794821632.022000,0.06
Default/Greater-op166,2,1794821632.184000,0.094
Default/RealDiv-op160,2,1794821633.851000,0.054
Default/Floor-op161,2,1794821634.019000,0.049
Default/Mul-op162,2,1794821634.169000,0.051
Default/Sub-op163,2,1794821634.319000,0.047
Default/Cast-op165,2,1794821634.483000,0.045
Default/Equal-op150,2,1794821634.633000,0.047
Default/Cast-op151,2,1794821634.920000,0.047
Default/Identity-op157,2,1794821635.417000,0.235
Default/Identity-op157,2,1794821635.801000,0.246
Default/Identity-op157,2,1794821636.228000,0.195
Default/Cast-op158,2,1794821636.546000,0.151
Default/Select-op159,2,1794821636.800000,0.058
Default/Cast-op151,2,1794821637.029000,0.048
Default/Identity-op157,2,1794821637.421000,0.208
Default/Identity-op157,2,1794821637.775000,0.241
Default/Identity-op157,2,1794821638.195000,0.234
Default/Cast-op158,2,1794821638.535000,0.142
Default/Select-op159,2,1794821638.782000,0.058
Default/ReduceSum-op164,2,1794821638.992000,0.076
Default/Cast-op165,2,1794821639.166000,0.046
Default/Greater-op166,2,1794821639.314000,0.048
Default/RealDiv-op160,2,1794821640.228000,0.049
Default/Floor-op161,2,1794821640.382000,0.044
Default/Mul-op162,2,1794821640.532000,0.047
Default/Sub-op163,2,1794821640.678000,0.048
Default/Cast-op165,2,1794821640.829000,0.046
Default/Equal-op150,2,1794821640.975000,0.05
Default/Cast-op151,2,1794821641.121000,0.046
Default/Identity-op157,2,1794821641.486000,0.198
Default/Identity-op157,2,1794821641.826000,0.233
Default/Identity-op157,2,1794821642.239000,0.189
Default/Cast-op158,2,1794821642.550000,0.123
Default/Select-op159,2,1794821642.778000,0.058
Default/Cast-op151,2,1794821643.023000,0.05
Default/Identity-op157,2,1794821643.410000,0.182
Default/Identity-op157,2,1794821643.758000,0.211
Default/Identity-op157,2,1794821644.111000,0.178
Default/Cast-op158,2,1794821644.382000,0.138
Default/Select-op159,2,1794821644.626000,0.056
Default/ReduceSum-op164,2,1794821644.826000,0.069
Default/Cast-op165,2,1794821644.991000,0.073
Default/Greater-op166,2,1794821645.166000,0.048
Default/Cast-op168,2,1794821753.719000,0.159
Default/FloorDiv-op169,2,1794821753.998000,0.092
Default/FloorDiv-op170,2,1794821754.261000,0.052
Default/Mul-op171,2,1794821754.499000,0.038
Default/LessEqual-op172,2,1794821754.751000,0.09
Default/FloorDiv-op170,2,1794821755.584000,0.05
Default/FloorDiv-op170,2,1794821755.775000,0.047
Default/Mul-op173,2,1794821820.105000,0.076
Default/Equal-op174,2,1794821820.300000,0.119
Default/Sub-op175,2,1794821889.467000,0.153
Default/Add-op176,2,1794821889.812000,0.094
Default/StridedSlice-op178,2,1794821959.291000,0.149
Default/Pad-op179,2,1794822100.340000,0.176
Default/Cast-op186,2,1794822100.927000,0.094
Default/TransData-op182,2,1794822101.127000,0.29
Default/Cast-op185,2,1794822101.519000,0.086
Default/Conv2D-op181,2,1794822101.696000,0.092
Default/TransData-op188,2,1794822101.932000,0.112
Default/Cast-op196,2,1794822274.025000,0.071
Default/TransData-op191,2,1794822274.188000,0.144
Default/Cast-op195,2,1794822274.432000,0.092
Default/Conv2DBackpropInput-op190,2,1794822274.616000,0.09
Default/Cast-op194,2,1794822274.805000,0.09
Default/TransData-op198,2,1794822275.035000,0.121
Default/Pad-op199,2,1794822275.317000,0.114
Default/StridedSlice-op200,2,1794822275.706000,0.101
Default/Add-op201,2,1794822276.272000,0.035
Default/StridedSlice-op202,2,1794822276.578000,0.098
Default/Pad-op203,2,1794822409.322000,0.19
Default/Cast-op210,2,1794822409.915000,0.059
Default/TransData-op206,2,1794822410.081000,0.294
Default/Cast-op209,2,1794822410.475000,0.086
Default/Conv2D-op205,2,1794822410.651000,0.086
Default/TransData-op212,2,1794822410.877000,0.052
Default/Cast-op196,2,1794822414.985000,0.045
Default/TransData-op191,2,1794822415.119000,0.059
Default/Cast-op195,2,1794822415.270000,0.049
Default/Conv2DBackpropInput-op190,2,1794822415.406000,0.047
Default/Cast-op194,2,1794822415.544000,0.049
Default/TransData-op198,2,1794822415.727000,0.082
Default/Pad-op213,2,1794822500.710000,0.204
Default/StridedSlice-op214,2,1794822501.245000,0.107
Default/Add-op215,2,1794822501.473000,0.053
Default/StridedSlice-op216,2,1794822501.794000,0.103
Default/Pad-op217,2,1794822631.247000,0.157
Default/Cast-op224,2,1794822631.766000,0.055
Default/TransData-op220,2,1794822631.909000,0.285
Default/Cast-op223,2,1794822632.292000,0.096
Default/Conv2D-op219,2,1794822632.483000,0.095
Default/TransData-op226,2,1794822632.708000,0.053
Default/Cast-op196,2,1794822636.620000,0.057
Default/TransData-op191,2,1794822636.765000,0.072
Default/Cast-op195,2,1794822636.931000,0.048
Default/Conv2DBackpropInput-op190,2,1794822637.071000,0.057
Default/Cast-op194,2,1794822637.218000,0.052
